Activity,Assignment,Attempt,Choice,Comment,Completion_state,Content,Course,Feedback,File_submission,File_submission ,Files,Folder,Grade,Option,Page,Quiz,Report,Resource,Response,Session,Submission,Submission ,Submission_state,Submission_status,Submission_text,URL,assignment,attempt,choice,content,feedback,file_submission,files,folder,page,quiz,resource,response,session,submission,submission_status
76.0,110.0,298.0,13.0,,23.0,61.0,21.0,4.0,13.0,19.0,,21.0,2.0,,2.0,10.0,6.0,12.0,198.0,,25.0,6.0,36.0,96.0,7.0,1.0,8.0,,,1.0,,1.0,,,,,,,,3.0,6.0
33.0,98.0,291.0,6.0,,16.0,162.0,12.0,16.0,20.0,7.0,,32.0,9.0,1.0,11.0,3.0,,19.0,231.0,,32.0,2.0,47.0,27.0,8.0,2.0,6.0,,,11.0,,1.0,,1.0,,,,,,3.0,4.0
96.0,271.0,260.0,6.0,,11.0,269.0,22.0,41.0,29.0,6.0,,27.0,1.0,1.0,4.0,5.0,,26.0,211.0,10.0,43.0,4.0,154.0,77.0,4.0,4.0,6.0,2.0,,15.0,,1.0,,1.0,,8.0,,,,3.0,4.0
54.0,157.0,163.0,8.0,,12.0,180.0,22.0,24.0,14.0,10.0,1.0,81.0,3.0,1.0,4.0,5.0,,22.0,139.0,2.0,24.0,5.0,89.0,55.0,6.0,2.0,12.0,,,11.0,1.0,1.0,1.0,1.0,,,2.0,,,4.0,9.0
71.0,101.0,660.0,12.0,,14.0,86.0,38.0,34.0,13.0,18.0,,8.0,1.0,1.0,1.0,4.0,,19.0,374.0,,17.0,8.0,61.0,64.0,5.0,4.0,5.0,,,2.0,,1.0,,1.0,,,,,,3.0,3.0
30.0,67.0,103.0,4.0,,8.0,70.0,5.0,5.0,13.0,6.0,,5.0,2.0,1.0,2.0,2.0,,8.0,95.0,3.0,15.0,2.0,39.0,14.0,,,6.0,,1.0,4.0,,1.0,,,,,,,,3.0,4.0
139.0,196.0,395.0,8.0,,21.0,306.0,55.0,14.0,28.0,21.0,1.0,69.0,10.0,1.0,6.0,20.0,,35.0,271.0,,42.0,7.0,114.0,92.0,2.0,6.0,16.0,,1.0,27.0,,2.0,,4.0,,7.0,,,,6.0,12.0
24.0,123.0,173.0,8.0,,11.0,87.0,3.0,17.0,20.0,9.0,1.0,44.0,4.0,1.0,7.0,3.0,,27.0,155.0,,28.0,2.0,72.0,23.0,4.0,2.0,11.0,,,3.0,,1.0,,3.0,,,,,,3.0,9.0
40.0,69.0,247.0,5.0,,14.0,37.0,19.0,14.0,12.0,8.0,1.0,7.0,1.0,1.0,,2.0,,8.0,241.0,2.0,15.0,7.0,28.0,47.0,2.0,2.0,9.0,,,6.0,,1.0,1.0,1.0,,,,,1.0,3.0,7.0
63.0,202.0,216.0,8.0,,15.0,270.0,31.0,19.0,23.0,16.0,1.0,34.0,2.0,1.0,1.0,7.0,,18.0,121.0,9.0,33.0,7.0,107.0,74.0,5.0,2.0,6.0,,,5.0,,1.0,,1.0,,,,,,3.0,4.0
